Unnamed: 0,name,artist,danceability,energy,key,mode,valence,tempo,Cluster
0,Mr. Brightside,The Killers,0.355,0.918,1,1,0.24,0.6199962326545135,1
1,Wonderwall,Oasis,0.409,0.892,2,1,0.651,0.7301366709223718,1
2,Come as You Are,Nirvana,0.508,0.826,4,0,0.543,0.5023629628079282,1
3,Take Me Out,Franz Ferdinand,0.279,0.664,9,1,0.49,0.4376818267439671,2
4,Creep,Radiohead,0.515,0.43,7,1,0.104,0.3844408631407104,0
5,Somebody Told Me,The Killers,0.508,0.979,10,0,0.704,0.5777852194478746,2
6,Viva la Vida,Coldplay,0.588,0.806,8,1,0.52,0.5775466209003957,0
7,Karma Police,Radiohead,0.36,0.505,7,1,0.317,0.3131375708993491,0
8,The Scientist,Coldplay,0.566,0.429,5,1,0.173,0.6126750245923942,0
9,Clocks,Coldplay,0.577,0.749,5,0,0.255,0.5482324870759121,0
10,Under the Bridge,Red Hot Chili Peppers,0.554,0.49,4,1,0.513,0.3527700454174428,1
11,Seven Nation Army,The White Stripes,0.759,0.465,4,0,0.305,0.519261600284644,1
12,Feel Good Inc.,Gorillaz,0.809,0.72,6,1,0.832,0.5799870235877688,0
13,Chop Suey!,System of a Down,0.42,0.925,7,0,0.322,0.5333807739802006,0
14,Fix You,Coldplay,0.213,0.416,3,1,0.129,0.5796605203122711,1
15,Lithium,Nirvana,0.678,0.656,7,1,0.485,0.5157370392850416,0
16,Song 2,Blur,0.676,0.723,8,1,0.779,0.5429163440005023,0
17,In the End,Linkin Park,0.542,0.853,3,0,0.37,0.4405952405868688,1
18,Chasing Cars,Snow Patrol,0.558,0.568,9,1,0.125,0.4353377006634714,2
19,Otherside,Red Hot Chili Peppers,0.459,0.795,0,1,0.513,0.5158333158919192,1
20,When You Were Young,The Killers,0.466,0.981,8,0,0.313,0.5458590594194103,0
21,Supermassive Black Hole,Muse,0.667,0.891,7,1,0.837,0.5023545909290693,0
22,Bohemian Rhapsody,Queen,0.405,0.405,0,0,0.228,0.5909416270746563,1
23,Use Somebody,Kings of Leon,0.276,0.755,0,1,0.194,0.5740974068105235,1
24,Starlight,Muse,0.555,0.88,1,0,0.266,0.5088846564390214,1
25,Paranoid Android,Radiohead,0.232,0.8,5,1,0.299,0.3426149563615814,0
26,Everlong,Foo Fighters,0.415,0.867,11,0,0.36,0.6609682077900333,2
27,No Surprises,Radiohead,0.255,0.393,5,1,0.118,0.3199146068356391,0
28,Iris,Goo Goo Dolls,0.315,0.715,11,0,0.497,0.6526926055379979,2
29,Numb,Linkin Park,0.496,0.863,9,1,0.243,0.4605286841499404,2
30,Zombie,The Cranberries,0.311,0.664,7,1,0.265,0.6983026015613554,0
31,Dani California,Red Hot Chili Peppers,0.556,0.913,0,1,0.73,0.4026203980828398,1
32,Stairway to Heaven,Led Zeppelin,0.354,0.361,9,0,0.212,0.3363820925511208,2
33,Welcome to the Jungle,Guns N' Roses,0.272,0.91,8,1,0.154,0.5447539714100338,0
34,Clint Eastwood,Gorillaz,0.659,0.712,10,0,0.556,0.7030201552983529,2
35,Paint It Black,The Rolling Stones,0.456,0.793,11,0,0.615,0.6646727641851023,2
36,Reptilia,The Strokes,0.488,0.65,9,1,0.77,0.6614244751878441,2
37,The Pretender,Foo Fighters,0.433,0.958,9,1,0.359,0.7240377571736537,2
38,All These Things That I've Done,The Killers,0.548,0.751,6,1,0.219,0.4950584985035267,0
39,Losing My Religion,R.E.M.,0.668,0.736,9,0,0.629,0.5315222168735219,2
40,Paranoid,Black Sabbath,0.413,0.772,4,0,0.492,0.6826137005797527,1
41,Time Is Running Out,Muse,0.575,0.854,9,0,0.443,0.4948826890474895,2
42,I Kissed a Girl,Katy Perry,0.699,0.76,5,1,0.696,0.5441553820716215,0
43,Where Is My Mind?,Pixies,0.514,0.435,4,1,0.212,0.3436823709160929,1
44,Bitter Sweet Symphony,The Verve,0.383,0.907,9,1,0.514,0.7160133112873857,2
45,Toxicity,System of a Down,0.413,0.873,8,1,0.48,0.4884154126289793,0
46,Basket Case,Green Day,0.442,0.943,3,1,0.781,0.3560727516272839,1
47,Heart-Shaped Box,Nirvana,0.609,0.842,0,1,0.459,0.4820444128173466,1
48,By the Way,Red Hot Chili Peppers,0.451,0.97,0,1,0.198,0.5125431675003663,1
49,I Will Follow You Into The Dark,Death Cab for Cutie,0.517,0.206,5,1,0.489,0.3365537160677285,0
50,Smile Like You Mean It,The Killers,0.369,0.981,3,0,0.379,0.5232508005609159,1
51,Hysteria,Muse,0.411,0.914,9,0,0.441,0.3898072374892736,2
52,In Bloom,Nirvana,0.433,0.744,10,0,0.595,0.6579459595219658,2
53,Love Will Tear Us Apart,Joy Division,0.393,0.87,2,1,0.602,0.6575064358818727,1
54,Don't Stop Believin',Journey,0.492,0.779,4,1,0.476,0.4991397894472468,1
55,Someday,The Strokes,0.538,0.52,9,1,0.678,0.4438393436446975,2
56,Don't Panic,Coldplay,0.62,0.6,0,1,0.427,0.4940078277067332,1
57,Boulevard of Broken Dreams,Green Day,0.49,0.679,8,1,0.506,0.6992444379329831,0
58,Back in Black,AC/DC,0.31,0.7,9,1,0.763,0.788572385357584,2
59,Float On,Modest Mouse,0.646,0.893,6,1,0.559,0.4225747713430587,0
60,Bring Me to Life,Evanescence,0.332,0.93,4,0,0.296,0.7956382511145066,1
61,Can't Stop,Red Hot Chili Peppers,0.618,0.938,9,1,0.875,0.3828250905209402,2
62,She Will Be Loved,Maroon 5,0.697,0.704,0,0,0.52,0.4270662843508655,1
63,Nothing Else Matters,Metallica,0.553,0.362,4,0,0.158,0.5958768496619854,1
64,Paradise City,Guns N' Roses,0.267,0.977,11,1,0.471,0.4176144331191528,2
65,Naïve,The Kooks,0.559,0.791,8,0,0.716,0.4327424182172084,0
66,Trouble,Coldplay,0.558,0.511,11,0,0.184,0.585437116724921,2
67,In My Place,Coldplay,0.423,0.566,9,1,0.218,0.6056552041691957,2
68,No One Knows,Queens of the Stone Age,0.508,0.516,0,1,0.716,0.7153812344335378,1
69,Rape Me,Nirvana,0.417,0.739,8,1,0.255,0.4685238284602022,0
70,Polly,Nirvana,0.618,0.392,11,1,0.437,0.4816969798447017,2
71,Hurt,Johnny Cash,0.521,0.304,9,0,0.184,0.3801628330438059,2
72,High and Dry,Radiohead,0.418,0.383,4,1,0.352,0.3674124615416815,1
73,Such Great Heights,The Postal Service,0.649,0.814,5,1,0.199,0.7324514954268613,0
74,Mardy Bum,Arctic Monkeys,0.634,0.599,2,1,0.312,0.4697251930764562,1
75,Fake Plastic Trees,Radiohead,0.454,0.229,2,1,0.134,0.3078842169153812,1
76,Sweet Home Alabama,Lynyrd Skynyrd,0.575,0.542,0,1,0.855,0.4094016199585593,1
77,This Love,Maroon 5,0.714,0.862,5,0,0.764,0.3978233114966827,0
78,Don't Look Back in Anger,Oasis,0.354,0.913,0,1,0.216,0.6862177944285146,1
79,Speed of Sound,Coldplay,0.523,0.898,11,0,0.355,0.5152263546746478,2
80,Break on Through (to the Other Side),The Doors,0.421,0.751,9,1,0.789,0.3760606124029386,2
81,Here Without You,3 Doors Down,0.552,0.541,10,0,0.202,0.6028213231754537,2
82,Black Hole Sun,Soundgarden,0.369,0.829,6,1,0.139,0.4412566190167229,0
83,Sultans of Swing,Dire Straits,0.736,0.815,5,1,0.921,0.6201552983528328,0
84,Another One Bites the Dust,Queen,0.935,0.526,5,0,0.757,0.4603445028150443,0
85,Learn to Fly,Foo Fighters,0.439,0.931,11,0,0.527,0.5690533497980285,2
86,Kryptonite,3 Doors Down,0.546,0.805,11,0,0.529,0.4144498629104837,2
87,Radioactive,Imagine Dragons,0.471,0.765,9,1,0.232,0.5707570271458172,2
88,Are You Gonna Be My Girl,Jet,0.596,0.927,2,1,0.591,0.4383013457795266,1
89,Wake Me Up When September Ends,Green Day,0.546,0.814,7,1,0.146,0.4394399213043388,0
90,Last Nite,The Strokes,0.624,0.899,0,1,0.797,0.4355679273320916,1
91,All Apologies,Nirvana,0.446,0.666,1,1,0.423,0.4744636765106009,1
92,Fake Tales of San Francisco,Arctic Monkeys,0.453,0.772,11,0,0.702,0.5322338265765295,2
93,Don't Stop Me Now,Queen,0.45,0.863,0,1,0.23,0.6669666589924444,1
94,Fluorescent Adolescent,Arctic Monkeys,0.647,0.818,6,0,0.813,0.4692814834969338,0
95,Buddy Holly,Weezer,0.556,0.92,8,1,0.771,0.5070763306054962,0
96,Island in the Sun,Weezer,0.654,0.802,4,0,0.692,0.4798635383745998,1
97,Banquet,Bloc Party,0.568,0.967,10,0,0.756,0.6276774315075662,2
98,Fortunate Son,Creedence Clearwater Revival,0.631,0.761,0,1,0.45,0.5546286025241215,1
99,1979,The Smashing Pumpkins,0.77,0.806,3,1,0.963,0.5311454823248708,1
100,Lonely Day,System of a Down,0.47,0.796,8,0,0.215,0.4734632369869608,0
101,Every Breath You Take,The Police,0.515,0.788,2,1,0.476,0.4953054689298646,1
102,How You Remind Me,Nickelback,0.44,0.763,10,1,0.538,0.720647146235794,2
103,Don't Speak,No Doubt,0.522,0.707,5,0,0.572,0.3183406936101635,0
104,Light My Fire,The Doors,0.424,0.619,4,0,0.523,0.54632369869608,1
105,We Will Rock You,Queen,0.69,0.44,11,0,0.494,0.3400406036124657,2
106,Dream On,Aerosmith,0.412,0.528,1,1,0.175,0.3347160886581971,1
107,The Kids Aren't Alright,The Offspring,0.512,0.945,1,1,0.812,0.4167186420812492,1
108,Everything in Its Right Place,Radiohead,0.306,0.451,5,0,0.0625,0.5188764938571339,0
109,Boys Don't Cry,The Cure,0.459,0.837,11,0,0.639,0.7092404612905251,2
110,Just Like Heaven,The Cure,0.445,0.975,9,1,0.754,0.6324703321542937,2
111,One Step Closer,Linkin Park,0.492,0.969,9,1,0.538,0.3982335335607694,2
112,Violet Hill,Coldplay,0.332,0.587,1,0,0.109,0.3183448795495929,1
113,Beautiful Day,U2,0.533,0.737,2,1,0.5,0.5700328596245212,1
114,With or Without You,U2,0.546,0.49,2,1,0.118,0.4602147386927311,1
115,I Hate Everything About You,Three Days Grace,0.481,0.798,6,0,0.474,0.3739885723853576,0
116,The Reason,Hoobastank,0.464,0.585,4,1,0.0716,0.3468134536093263,1
117,November Rain,Guns N' Roses,0.329,0.679,11,1,0.272,0.3349965465999707,2
118,People Are Strange,The Doors,0.679,0.472,4,0,0.769,0.5009104418259068,1
119,The Middle,Jimmy Eat World,0.644,0.848,2,1,0.927,0.6787500784863644,1
120,Gimme Shelter,The Rolling Stones,0.631,0.632,1,0,0.492,0.496657527365579,1
121,My Hero,Foo Fighters,0.367,0.919,9,1,0.301,0.6444421189225392,2
122,All Along the Watchtower,Jimi Hendrix,0.433,0.787,8,1,0.562,0.4745306515414722,0
123,Hey There Delilah,Plain White T's,0.451,0.261,2,1,0.372,0.4205194750831956,1
124,When the Sun Goes Down,Arctic Monkeys,0.35,0.868,11,0,0.415,0.7100650913581281,2
125,Like a Rolling Stone,Bob Dylan,0.486,0.717,0,1,0.531,0.3998409343016807,1
126,The House of the Rising Sun,The Animals,0.298,0.563,9,0,0.29,0.4918688126582808,2
127,Come Together,The Beatles,0.515,0.747,9,0,0.365,0.7456581343267963,2
128,What I've Done,Linkin Park,0.623,0.93,5,1,0.287,0.5028108583268801,0
129,Dumb,Nirvana,0.682,0.405,6,1,0.846,0.4760208459783587,0
130,Airbag,Radiohead,0.14,0.89,2,1,0.627,0.7023211034136336,1
131,B.Y.O.B.,System of a Down,0.538,0.981,1,0,0.711,0.4245128612988971,1
132,Sympathy for the Devil,The Rolling Stones,0.479,0.874,9,1,0.834,0.4966910148810147,2
133,Alive,Pearl Jam,0.298,0.825,2,1,0.54,0.3164235333514724,1
134,Immigrant Song,Led Zeppelin,0.574,0.926,11,1,0.609,0.4734171916532368,2
135,15 Step,Radiohead,0.6,0.853,1,1,0.847,0.3953912806881685,1
136,Money,Pink Floyd,0.468,0.536,11,0,0.785,0.5284999686054543,2
137,Loser,Beck,0.613,0.621,6,0,0.828,0.714933338914586,0
138,Let It Be,The Beatles,0.401,0.186,0,1,0.504,0.3176876870591683,1
139,Dancing Shoes,Arctic Monkeys,0.518,0.888,1,1,0.875,0.6048054584650161,1
140,Eye of the Tiger,Survivor,0.807,0.719,8,1,0.618,0.4492433914481258,0
141,Drive,Incubus,0.645,0.835,4,0,0.661,0.3790786747315767,1
142,Aerials,System of a Down,0.406,0.924,0,0,0.254,0.3346951589610498,1
143,All I Need,Radiohead,0.668,0.477,4,0,0.0966,0.3683835994893153,1
144,Ace of Spades,Motörhead,0.331,0.992,3,0,0.151,0.5873249754076059,1
145,Ruby,Kaiser Chiefs,0.447,0.933,5,0,0.477,0.3912555725318655,0
146,1901,Phoenix,0.604,0.833,0,1,0.722,0.6031059670566568,1
147,Sunshine of Your Love,Cream,0.683,0.594,2,1,0.734,0.4817974423910087,1
148,Beat It,Michael Jackson,0.771,0.792,3,0,0.913,0.581071181899998,1
149,(I Can't Get No) Satisfaction,The Rolling Stones,0.72,0.902,2,1,0.924,0.5704472676280374,1
150,Better Together,Jack Johnson,0.872,0.343,5,1,0.673,0.4606919357876892,0
151,Crawling,Linkin Park,0.58,0.702,4,1,0.299,0.4398417714895666,1
152,More Than a Feeling,Boston,0.413,0.596,7,1,0.391,0.4564934385399444,0
153,My Immortal,Evanescence,0.364,0.285,9,1,0.0707,0.6260156135540719,2
154,Closer,Kings of Leon,0.398,0.768,11,0,0.235,0.4549488268904749,2
155,Let Down,Radiohead,0.352,0.674,9,1,0.145,0.4290127461855628,2
156,All My Life,Foo Fighters,0.585,0.599,5,1,0.667,0.7023085455953453,0
157,Paradise,Coldplay,0.447,0.559,5,1,0.187,0.5845538835053057,0
158,Human,The Killers,0.549,0.859,10,1,0.56,0.5670064254170243,2
159,Yesterday,The Beatles,0.458,0.0781,6,0,0.23,0.3500449988488666,0
160,Maps,Yeah Yeah Yeahs,0.532,0.935,7,1,0.253,0.5013164779505641,0
161,Reckoner,Radiohead,0.49,0.632,4,0,0.237,0.4364469746122774,1
162,What You Know,Two Door Cinema Club,0.557,0.735,6,0,0.785,0.5819083697858892,0
163,Smoke on the Water,Deep Purple,0.682,0.45,0,1,0.829,0.4777119655078591,1
164,Talk,Coldplay,0.399,0.674,7,0,0.139,0.5037568806379372,0
165,Whole Lotta Love,Led Zeppelin,0.412,0.902,9,1,0.422,0.3756462043994223,2
166,What's My Age Again?,blink-182,0.393,0.946,6,1,0.495,0.660516126331652,0
167,Last Resort,Papa Roach,0.59,0.894,4,0,0.732,0.3792628560664728,1
168,Hallelujah,Jeff Buckley,0.328,0.146,0,1,0.089,0.4147135770945395,1
169,Bodysnatchers,Radiohead,0.4,0.979,2,1,0.712,0.3489775842943552,1
170,Iron Man,Black Sabbath,0.34,0.824,9,1,0.5,0.6487996818686034,2
171,Riders on the Storm,The Doors,0.377,0.0952,11,0,0.261,0.4340484313191988,2
172,Sweet Disposition,The Temper Trap,0.532,0.746,2,1,0.367,0.5404382678582642,1
173,Baba O'Riley,The Who,0.395,0.587,5,1,0.171,0.4929864584859458,0
174,You Only Live Once,The Strokes,0.631,0.909,11,1,0.969,0.5044601184620859,2
175,Lisztomania,Phoenix,0.645,0.797,0,1,0.335,0.4082295569183115,1
176,Help!,The Beatles,0.552,0.734,6,0,0.846,0.3971912346428348,0
177,Lucky,Radiohead,0.199,0.419,11,0,0.216,0.5583917620712029,2
178,Even Flow,Pearl Jam,0.393,0.947,10,0,0.323,0.4408631407103539,2
179,Drain You,Nirvana,0.325,0.929,11,0,0.198,0.5582285104334541,2
180,Bulls on Parade,Rage Against the Machine,0.412,0.919,5,1,0.572,0.6964021850603822,0
181,Black Dog,Led Zeppelin,0.437,0.864,4,0,0.749,0.3407103539211788,1
182,Master of Puppets,Metallica,0.535,0.753,4,0,0.59,0.4407668641034765,1
183,House of Cards,Radiohead,0.71,0.496,5,1,0.637,0.4674103685719668,0
184,Good Riddance (Time of Your Life),Green Day,0.475,0.432,7,1,0.648,0.3960107997237281,0
185,Killer Queen,Queen,0.55,0.494,10,1,0.58,0.490173507189351,2
186,Give It Away,Red Hot Chili Peppers,0.683,0.989,9,0,0.781,0.3832562422821742,2
187,Idioteque,Radiohead,0.615,0.931,3,1,0.53,0.5757508528851588,1
188,Subterranean Homesick Alien,Radiohead,0.316,0.592,0,1,0.32,0.6301387638920866,1
189,Breed,Nirvana,0.26,0.967,11,1,0.278,0.6641327779987023,2
190,Plug In Baby,Muse,0.406,0.953,2,1,0.307,0.5693170639820843,1
191,Here Comes the Sun,The Beatles,0.656,0.443,2,1,0.43,0.5399694426421651,1
192,Nude,Radiohead,0.537,0.342,4,1,0.156,0.5371857929215764,1
